Expt,Location,Year,Date,Time,LoggerID,Measurement,Unit,Value,DaysAfterPlanting
Sp16,"Cordoba, Spain",2016,2017-03-01,7:40:00,Weather Station,Temperature,C,4.4,78
Sp16,"Cordoba, Spain",2016,2017-03-02,7:30:00,Weather Station,Temperature,C,4.6,79
Sp16,"Cordoba, Spain",2016,2017-03-03,4:00:00,Weather Station,Temperature,C,4.2,80
Sp16,"Cordoba, Spain",2016,2017-03-04,0:10:00,Weather Station,Temperature,C,5.7,81
Sp16,"Cordoba, Spain",2016,2017-03-05,3:40:00,Weather Station,Temperature,C,4.9,82
Sp16,"Cordoba, Spain",2016,2017-03-06,23:59:00,Weather Station,Temperature,C,11.6,83
Sp16,"Cordoba, Spain",2016,2017-03-07,7:20:00,Weather Station,Temperature,C,7.1,84
Sp16,"Cordoba, Spain",2016,2017-03-08,2:40:00,Weather Station,Temperature,C,9,85
Sp16,"Cordoba, Spain",2016,2017-03-09,7:10:00,Weather Station,Temperature,C,8.5,86
Sp16,"Cordoba, Spain",2016,2017-03-10,7:50:00,Weather Station,Temperature,C,8.2,87
Sp16,"Cordoba, Spain",2016,2017-03-11,6:40:00,Weather Station,Temperature,C,7,88
