"REF_DATE","GEO","DGUID","Gender (3)","Age (15C)","Statistics (3)","Place of birth (290)","Non-permanent resident type (10)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2021A000011124","Total - Gender","25 to 64 years","Count","Europe","Total - Non-permanent resident type","","0","units","0","","1.1.7.1.77.1","1101620","","","","0"
"2021","Canada","2021A000011124","Total - Gender","25 to 64 years","Count","Europe","Asylum claimants","","0","units","0","","1.1.7.1.77.3","2865","","","","0"
"2021","Canada","2021A000011124","Total - Gender","25 to 64 years","Count","Europe","Non-permanent residents with a work permit only","","0","units","0","","1.1.7.1.77.4","53690","","","","0"
"2021","Canada","2021A000011124","Total - Gender","25 to 64 years","Count","Europe","Non-permanent residents with a study permit only","","0","units","0","","1.1.7.1.77.5","4305","","","","0"
"2021","Canada","2021A000011124","Total - Gender","25 to 64 years","Count","Europe","Non-permanent residents with work and study permits","","0","units","0","","1.1.7.1.77.6","3640","","","","0"
"2021","Canada","2021A000011124","Total - Gender","25 to 64 years","Count","Europe","Other non-permanent resident types","","0","units","0","","1.1.7.1.77.7","6850","","","","0"
"2021","Canada","2021A000011124","Total - Gender","25 to 64 years","Count","Europe","Not a non-permanent resident","","0","units","0","","1.1.7.1.77.8","1030275","","","","0"
"2021","Canada","2021A000011124","Total - Gender","25 to 64 years","Count","Africa","Total - Non-permanent resident type","","0","units","0","","1.1.7.1.135.1","647485","","","","0"
"2021","Canada","2021A000011124","Total - Gender","25 to 64 years","Count","Africa","Asylum claimants","","0","units","0","","1.1.7.1.135.3","25025","","","","0"
"2021","Canada","2021A000011124","Total - Gender","25 to 64 years","Count","Africa","Non-permanent residents with a work permit only","","0","units","0","","1.1.7.1.135.4","22705","","","","0"
"2021","Canada","2021A000011124","Total - Gender","25 to 64 years","Count","Africa","Non-permanent residents with a study permit only","","0","units","0","","1.1.7.1.135.5","7685","","","","0"
"2021","Canada","2021A000011124","Total - Gender","25 to 64 years","Count","Africa","Non-permanent residents with work and study permits","","0","units","0","","1.1.7.1.135.6","6025","","","","0"
"2021","Canada","2021A000011124","Total - Gender","25 to 64 years","Count","Africa","Other non-permanent resident types","","0","units","0","","1.1.7.1.135.7","4325","","","","0"
"2021","Canada","2021A000011124","Total - Gender","25 to 64 years","Count","Africa","Not a non-permanent resident","","0","units","0","","1.1.7.1.135.8","581720","","","","0"
"2021","Canada","2021A000011124","Total - Gender","25 to 64 years","Count","Asia","Total - Non-permanent resident type","","0","units","0","","1.1.7.1.199.1","3359210","","","","0"
"2021","Canada","2021A000011124","Total - Gender","25 to 64 years","Count","Asia","Asylum claimants","","0","units","0","","1.1.7.1.199.3","31315","","","","0"
"2021","Canada","2021A000011124","Total - Gender","25 to 64 years","Count","Asia","Non-permanent residents with a work permit only","","0","units","0","","1.1.7.1.199.4","172480","","","","0"
"2021","Canada","2021A000011124","Total - Gender","25 to 64 years","Count","Asia","Non-permanent residents with a study permit only","","0","units","0","","1.1.7.1.199.5","36590","","","","0"
"2021","Canada","2021A000011124","Total - Gender","25 to 64 years","Count","Asia","Non-permanent residents with work and study permits","","0","units","0","","1.1.7.1.199.6","42595","","","","0"
"2021","Canada","2021A000011124","Total - Gender","25 to 64 years","Count","Asia","Other non-permanent resident types","","0","units","0","","1.1.7.1.199.7","25210","","","","0"
"2021","Canada","2021A000011124","Total - Gender","25 to 64 years","Count","Asia","Not a non-permanent resident","","0","units","0","","1.1.7.1.199.8","3051035","","","","0"
"2021","Canada","2021A000011124","Total - Gender","25 to 64 years","Count","Oceania","Total - Non-permanent resident type","","0","units","0","","1.1.7.1.256.1","50410","","","","0"
"2021","Canada","2021A000011124","Total - Gender","25 to 64 years","Count","Oceania","Asylum claimants","","0","units","0","","1.1.7.1.256.3","20","","","","0"
"2021","Canada","2021A000011124","Total - Gender","25 to 64 years","Count","Oceania","Non-permanent residents with a work permit only","","0","units","0","","1.1.7.1.256.4","3540","","","","0"
