"REF_DATE","GEO","DGUID","Housing estimates","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1973","Canada","2016A000011124","Housing completions","Total units","Units","300","units","0","v732453","1.3.1","246581","","","","0"
"1974","Canada","2016A000011124","Housing completions","Total units","Units","300","units","0","v732453","1.3.1","257243","","","","0"
"1975","Canada","2016A000011124","Housing completions","Total units","Units","300","units","0","v732453","1.3.1","216964","","","","0"
"1976","Canada","2016A000011124","Housing completions","Total units","Units","300","units","0","v732453","1.3.1","236249","","","","0"
"1977","Canada","2016A000011124","Housing completions","Total units","Units","300","units","0","v732453","1.3.1","251789","","","","0"
"1978","Canada","2016A000011124","Housing completions","Total units","Units","300","units","0","v732453","1.3.1","246533","","","","0"
"1979","Canada","2016A000011124","Housing completions","Total units","Units","300","units","0","v732453","1.3.1","226489","","","","0"
"1980","Canada","2016A000011124","Housing completions","Total units","Units","300","units","0","v732453","1.3.1","176168","","","","0"
"1981","Canada","2016A000011124","Housing completions","Total units","Units","300","units","0","v732453","1.3.1","174996","","","","0"
"1982","Canada","2016A000011124","Housing completions","Total units","Units","300","units","0","v732453","1.3.1","133942","","","","0"
"1983","Canada","2016A000011124","Housing completions","Total units","Units","300","units","0","v732453","1.3.1","163008","","","","0"
"1984","Canada","2016A000011124","Housing completions","Total units","Units","300","units","0","v732453","1.3.1","153012","","","","0"
"1985","Canada","2016A000011124","Housing completions","Total units","Units","300","units","0","v732453","1.3.1","139106","","","","0"
"1986","Canada","2016A000011124","Housing completions","Total units","Units","300","units","0","v732453","1.3.1","184605","","","","0"
