"REF_DATE","GEO","DGUID","Age (15C)","Gender (3)","Statistics (2)","Religion (25)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2021A000011124","15 years and over","Total - Gender","% distribution (2021)","Sikh","","0","units","0","","1.3.1.2.22","1.8","","","","1"
"2021","Canada","2021A000011124","15 years and over","Total - Gender","% distribution (2021)","Traditional (North American Indigenous) spirituality","","0","units","0","","1.3.1.2.23","0.2","","","","1"
"2021","Canada","2021A000011124","15 years and over","Total - Gender","% distribution (2021)","Other religions and spiritual traditions","","0","units","0","","1.3.1.2.24","0.6","","","","1"
"2021","Canada","2021A000011124","15 years and over","Total - Gender","% distribution (2021)","No religion and secular perspectives","","0","units","0","","1.3.1.2.25","27.6","","","","1"
"2021","Canada","2021A000011124","15 years and over","Men+","2021 Counts","Total - Religion","","0","units","0","","1.3.2.1.1","14861245","","","","0"
"2021","Canada","2021A000011124","15 years and over","Men+","2021 Counts","Buddhist","","0","units","0","","1.3.2.1.2","141105","","","","0"
"2021","Canada","2021A000011124","15 years and over","Men+","2021 Counts","Christian","","0","units","0","","1.3.2.1.3","7820865","","","","0"
"2021","Canada","2021A000011124","15 years and over","Men+","2021 Counts","Hindu","","0","units","0","","1.3.2.1.19","356870","","","","0"
"2021","Canada","2021A000011124","15 years and over","Men+","2021 Counts","Jewish","","0","units","0","","1.3.2.1.20","134645","","","","0"
"2021","Canada","2021A000011124","15 years and over","Men+","2021 Counts","Muslim","","0","units","0","","1.3.2.1.21","665460","","","","0"
"2021","Canada","2021A000011124","15 years and over","Men+","2021 Counts","Sikh","","0","units","0","","1.3.2.1.22","326315","","","","0"
"2021","Canada","2021A000011124","15 years and over","Men+","2021 Counts","Traditional (North American Indigenous) spirituality","","0","units","0","","1.3.2.1.23","26580","","","","0"
"2021","Canada","2021A000011124","15 years and over","Men+","2021 Counts","Other religions and spiritual traditions","","0","units","0","","1.3.2.1.24","85050","","","","0"
"2021","Canada","2021A000011124","15 years and over","Men+","2021 Counts","No religion and secular perspectives","","0","units","0","","1.3.2.1.25","5304360","","","","0"
"2021","Canada","2021A000011124","15 years and over","Men+","% distribution (2021)","Total - Religion","","0","units","0","","1.3.2.2.1","40.9","","","","1"
"2021","Canada","2021A000011124","15 years and over","Men+","% distribution (2021)","Buddhist","","0","units","0","","1.3.2.2.2","0.4","","","","1"
"2021","Canada","2021A000011124","15 years and over","Men+","% distribution (2021)","Christian","","0","units","0","","1.3.2.2.3","21.5","","","","1"
"2021","Canada","2021A000011124","15 years and over","Men+","% distribution (2021)","Hindu","","0","units","0","","1.3.2.2.19","1.0","","","","1"
"2021","Canada","2021A000011124","15 years and over","Men+","% distribution (2021)","Jewish","","0","units","0","","1.3.2.2.20","0.4","","","","1"
"2021","Canada","2021A000011124","15 years and over","Men+","% distribution (2021)","Muslim","","0","units","0","","1.3.2.2.21","1.8","","","","1"
"2021","Canada","2021A000011124","15 years and over","Men+","% distribution (2021)","Sikh","","0","units","0","","1.3.2.2.22","0.9","","","","1"
"2021","Canada","2021A000011124","15 years and over","Men+","% distribution (2021)","Traditional (North American Indigenous) spirituality","","0","units","0","","1.3.2.2.23","0.1","","","","1"
"2021","Canada","2021A000011124","15 years and over","Men+","% distribution (2021)","Other religions and spiritual traditions","","0","units","0","","1.3.2.2.24","0.2","","","","1"
"2021","Canada","2021A000011124","15 years and over","Men+","% distribution (2021)","No religion and secular perspectives","","0","units","0","","1.3.2.2.25","14.6","","","","1"
"2021","Canada","2021A000011124","15 years and over","Women+","2021 Counts","Total - Religion","","0","units","0","","1.3.3.1.1","15474670","","","","0"
"2021","Canada","2021A000011124","15 years and over","Women+","2021 Counts","Buddhist","","0","units","0","","1.3.3.1.2","184265","","","","0"
"2021","Canada","2021A000011124","15 years and over","Women+","2021 Counts","Christian","","0","units","0","","1.3.3.1.3","8981975","","","","0"
"2021","Canada","2021A000011124","15 years and over","Women+","2021 Counts","Hindu","","0","units","0","","1.3.3.1.19","328510","","","","0"
"2021","Canada","2021A000011124","15 years and over","Women+","2021 Counts","Jewish","","0","units","0","","1.3.3.1.20","143205","","","","0"
"2021","Canada","2021A000011124","15 years and over","Women+","2021 Counts","Muslim","","0","units","0","","1.3.3.1.21","644030","","","","0"
